Algorithm,url,recommended,acceptable,avoid,future,debated,FIPS140,CC,SuiteB,CSFC,PCI
TLS_RSA_WITH_AES_256_CBC_SHA,,,,TRUE,,,TRUE,TRUE,,,TRUE
TLS_RSA_WITH_AES_128_GCM_SHA256,,,,TRUE,,,TRUE,TRUE,,,TRUE
TLS_RSA_WITH_AES_192_GCM_SHA256,,,,TRUE,,,TRUE,TRUE,,,TRUE
TLS_RSA_WITH_AES_256_GCM_SHA256,,,,TRUE,,,TRUE,TRUE,,,TRUE
TLS_DHE_RSA_WITH_AES_128_CBC_SHA,,,TRUE,,,,TRUE,TRUE,,,TRUE
TLS_DHE_RSA_WITH_AES_192_CBC_SHA,,,TRUE,,,,TRUE,TRUE,,,TRUE
TLS_DHE_RSA_WITH_AES_256_CBC_SHA,,TRUE,TRUE,,,,TRUE,TRUE,,,TRUE
TLS_RSA_WITH_AES_128_CBC_SHA256,,,,TRUE,,,TRUE,TRUE,,,TRUE
TLS_RSA_WITH_AES_192_CBC_SHA256,,,,TRUE,,,TRUE,TRUE,,,TRUE
TLS_RSA_WITH_AES_256_CBC_SHA256,,,,TRUE,,,TRUE,TRUE,,,TRUE
TLS_DHE_RSA_WITH_AES_128_CBC_ SHA256,,,TRUE,,,,TRUE,TRUE,,,TRUE
TLS_DHE_RSA_WITH_AES_192_CBC_ SHA256,,,TRUE,,,,TRUE,TRUE,,,TRUE
TLS_DHE_RSA_WITH_AES_256_CBC_ SHA256,,,TRUE,,,,TRUE,TRUE,,,TRUE
